State seed;126;Test seed;0
Test_Count;Random100;Consecutive 0-99
0;-nan;-nan
6280;0.0498938;0.0477176
6290;0.0498675;0.0476948
6300;0.0499471;0.0477778
6310;0.0500264;0.0478077
6320;0.05;0.0477321
6330;0.0499737;0.0477093
6340;0.0501052;0.0477918
6350;0.0501837;0.0478215
6360;0.0503145;0.0478512
6370;0.0502355;0.0478284
6380;0.050209;0.0479101
6390;0.0502347;0.0478352
6400;0.0502083;0.0478646
6410;0.05013;0.0478939
6420;0.0500519;0.0478193
6430;0.0500778;0.0477968
6440;0.0501035;0.0478261
6450;0.0500775;0.047907
6460;0.0501032;0.047936
6470;0.0501288;0.0478619
6480;0.0500514;0.0477881
6490;0.0499743;0.0477144
6500;0.0498974;0.0476923
6510;0.0498208;0.0476703
6520;0.0497444;0.0475971
6530;0.0498213;0.0476263
6540;0.0498471;0.0476045
6550;0.0498219;0.0476336
6560;0.0497459;0.047561
6570;0.0496702;0.0476915
6580;0.0496961;0.0477204
6590;0.0496712;0.0477491
6600;0.049596;0.0477273
6610;0.0496722;0.0477055
6620;0.0496979;0.0477341
6630;0.0496229;0.0477627
6640;0.0495984;0.0478414
6650;0.0496241;0.04802
6660;0.0495495;0.048048
6670;0.0494753;0.048026
6680;0.0494012;0.0480539
6690;0.0494768;0.0481315
6700;0.049403;0.0481095
6710;0.0495281;0.0481868
6720;0.049504;0.0482143
6730;0.0494304;0.0481922
6740;0.0495054;0.0482196
6750;0.0494321;0.0483457
6760;0.0494576;0.0484714
6770;0.0494338;0.0483998
6780;0.04941;0.0484267
6790;0.0494354;0.0485027
6800;0.0494118;0.0485294
6810;0.0493882;0.0485071
6820;0.0493646;0.048436
6830;0.0493899;0.0484139
6840;0.0494639;0.0483431
6850;0.0495377;0.0483212
6860;0.0494655;0.0482993
6870;0.0493935;0.048229
6880;0.0494671;0.0482558
6890;0.0495404;0.0481858
6900;0.0494686;0.0482126
6910;0.0494452;0.0482875
6920;0.0495183;0.0482659
6930;0.049543;0.0482443
6940;0.0496158;0.0483189
6950;0.0495444;0.0483933
6960;0.0495211;0.0484195
6970;0.0495457;0.0484457
6980;0.0495224;0.0484241
6990;0.0494516;0.0484502
7000;0.0494762;0.0484762
7010;0.0496434;0.048407
7020;0.0496201;0.0483381
7030;0.049597;0.0482693
7040;0.0495739;0.0483902
7050;0.0495508;0.0484634
7060;0.0494806;0.0484891
7070;0.049505;0.0484677
7080;0.0494821;0.0483992
7090;0.0494593;0.048378
7100;0.0494366;0.0483568
7110;0.0493671;0.0483357
7120;0.0492978;0.0484082
7130;0.0492754;0.0484338
7140;0.049253;0.0484594
7150;0.049324;0.0484382
7160;0.0492551;0.0484637
7170;0.0493724;0.0484426
7180;0.04935;0.048468
7190;0.0492814;0.0484006
7200;0.0492593;0.0484259
7210;0.0492834;0.048405
7220;0.0492151;0.0484303
7230;0.0493776;0.0484094
7240;0.0493554;0.0483425
7250;0.0492874;0.0482759
7260;0.0494031;0.0483012
7270;0.0493352;0.0482348
7280;0.049359;0.0483974
7290;0.0494284;0.0483768
7300;0.0494521;0.0483562
7310;0.04943;0.04829
7320;0.0494991;0.048224
7330;0.0495225;0.0482037
7340;0.049455;0.0481381
7350;0.0494331;0.0481179
7360;0.0494112;0.0481884
7370;0.0494346;0.0481682
7380;0.0495032;0.0481481
7390;0.0495715;0.0482183
7400;0.0495946;0.0482432
7410;0.0496176;0.0483581
7420;0.0495508;0.0482929
7430;0.0494841;0.0483176
7440;0.0494624;0.0482527
7450;0.0494855;0.0483669
7460;0.0494638;0.0485255
7470;0.0494422;0.0484605
7480;0.0495098;0.048574
7490;0.0495772;0.0487316
7500;0.0495556;0.0488444
7510;0.0496227;0.0489569
7520;0.0496011;0.0489362
7530;0.0496237;0.0489597
7540;0.0496021;0.0488948
7550;0.0495806;0.0489183
7560;0.0496473;0.0488536
7570;0.0497138;0.0489212
7580;0.0497361;0.0489446
7590;0.0497584;0.0489679
7600;0.0497368;0.0489474
7610;0.0496715;0.048883
7620;0.0497375;0.0489501
7630;0.049716;0.0489297
7640;0.0497819;0.0488656
7650;0.0497603;0.0488017
7660;0.0497824;0.048738
7670;0.0497175;0.0487614
7680;0.0497396;0.0487413
7690;0.0496749;0.0486779
7700;0.0497836;0.048658
7710;0.0497622;0.0486381
7720;0.0497409;0.0487047
7730;0.0497628;0.0487279
7740;0.0499139;0.0486649
7750;0.0499355;0.0486452
7760;0.0499141;0.0486254
7770;0.0498928;0.0486916
7780;0.0498286;0.0487575
7790;0.0498074;0.0486949
7800;0.0498291;0.0486752
7810;0.0497653;0.0486129
7820;0.0497442;0.0485933
7830;0.0496807;0.0485313
7840;0.0497449;0.0484694
7850;0.0496815;0.0484926
7860;0.0497031;0.0484733
7870;0.04964;0.0485388
7880;0.049577;0.0485195
7890;0.0496409;0.048458
7900;0.0496624;0.0485232
7910;0.0495997;0.0484619
7920;0.0495791;0.048569
7930;0.0495586;0.0486339
7940;0.0494962;0.0487406
7950;0.0494759;0.048805
7960;0.0494137;0.0488275
7970;0.0494772;0.048808
7980;0.0494987;0.0487469
7990;0.0494368;0.0487276
8000;0.0495417;0.0486667
8010;0.0495214;0.0486891
8020;0.0495428;0.0486284
8030;0.0495641;0.0486094
8040;0.0495025;0.0485904
8050;0.0496066;0.0486542
8060;0.0496691;0.0486352
8070;0.0496489;0.0486163
8080;0.0497112;0.0486799
8090;0.0497322;0.0486609
8100;0.0498354;0.0486008
8110;0.0498972;0.0485409
8120;0.0498768;0.0486043
8130;0.0498565;0.0486265
8140;0.0498362;0.0486077
8150;0.049775;0.0486708
8160;0.0497958;0.0486111
8170;0.0498164;0.048674
8180;0.0497962;0.048696
8190;0.0498575;0.048718
8200;0.0499187;0.0486585
8210;0.0498579;0.0486399
8220;0.0498378;0.0486213
8230;0.0497772;0.0486432
8240;0.0498382;0.048746
